id,title,content,URL,title_translation,content_translation
1,WHO buw??lu ab??r?? àj?sára Monkeypox fún lílò àgbáyé,Igbes? yii waye lati j? kí ab?r? naa tete de sibi ti w?n ti nilo r? lati gbe ogun ti itankal? aarun Mpox.,https://www.bbc.com/yoruba/articles/cq8x27gnkqpo,WHO approves Monkeypox vaccine for worldwide use,This step was taken to make the vaccine quickly available where it is needed to curb the spread of the Mpox disease.
2,WHO buw??lu ab??r?? àj?sára Monkeypox fún lílò àgbáyé,"Bavarian Nordic A/S lo pelo ab?r? naa, ti aj? Europe Medicine Agency si se ay?wo r?.",https://www.bbc.com/yoruba/articles/cq8x27gnkqpo,WHO approves Monkeypox vaccine for worldwide use,"Bavarian Nordic A/S produced the vaccine, and the European Medicines Agency reviewed it."
3,WHO buw??lu ab??r?? àj?sára Monkeypox fún lílò àgbáyé,"T?l?, ko si ab?r? aj?sara fun aarun Mpox, eyi to fa ti w?n n fi lo ab?r? aj?sara small pox lati koju r? nitori aarun mejeeji j? ara w?n.",https://www.bbc.com/yoruba/articles/cq8x27gnkqpo,WHO approves Monkeypox vaccine for worldwide use,"Previously, there was no vaccine for Mpox, which is why they used the smallpox vaccine to fight it since both diseases are similar."
4,WHO buw??lu ab??r?? àj?sára Monkeypox fún lílò àgbáyé,"?ga agba fun WHO, Dokita Tedros Adhanom Ghebreyesus gba niyanju pe ki w?n yara lati gbe ab?r? aj?sara naa l? il? Afrika ati aw?n agbegbe mii ti aarun naa ti n ja.",https://www.bbc.com/yoruba/articles/cq8x27gnkqpo,WHO approves Monkeypox vaccine for worldwide use,"WHO Director-General, Dr. Tedros Adhanom Ghebreyesus, urged that the vaccine be quickly delivered to Africa and other regions battling the disease."
5,WHO buw??lu ab??r?? àj?sára Monkeypox fún lílò àgbáyé,"Dokita Yukiko Nakatani salaye pe bibuw?lu ab?r? aj?sara yii yoo ran ij?ba ati aw?n aj? bi Gavi ati Unicef l?w? lati gba ab?r? naa, ti w?n yoo si pese r? fun aw?n to nilo r?.",https://www.bbc.com/yoruba/articles/cq8x27gnkqpo,WHO approves Monkeypox vaccine for worldwide use,Dr. Yukiko Nakatani explained that the approval of this vaccine will help governments and organizations like Gavi and UNICEF to acquire the vaccine and provide it to those who need it.
6,WHO buw??lu ab??r?? àj?sára Monkeypox fún lílò àgbáyé,Ab?r? naa ko wa fun aw?n ?m?de tí w?n ko ti pe ?dun mejidinlogun.,https://www.bbc.com/yoruba/articles/cq8x27gnkqpo,WHO approves Monkeypox vaccine for worldwide use,The vaccine is not available for children under the age of 18.
7,WHO buw??lu ab??r?? àj?sára Monkeypox fún lílò àgbáyé,"WHO gba lam?ran pe ki aw?n eeyan gba ab?r? kan, eyi ti o ?í?? ni ida 76%, ti ab?r? aj?sara meji sì n sis? ni ida 82%.",https://www.bbc.com/yoruba/articles/cq8x27gnkqpo,WHO approves Monkeypox vaccine for worldwide use,"WHO advised that people should take one dose, which is 76% effective, while two doses are 82% effective."
8,WHO buw??lu ab??r?? àj?sára Monkeypox fún lílò àgbáyé,"Itankal? aarun yii lo b?r? ni oril?ede Democratic Republic of Congo ati aw?n agbegbe to yi ka, ti WHO si kede ilu o farar? lori aarun naa ni o?u to k?ja.",https://www.bbc.com/yoruba/articles/cq8x27gnkqpo,WHO approves Monkeypox vaccine for worldwide use,"The outbreak began in the Democratic Republic of Congo and surrounding areas, and WHO declared it a public health emergency last month."
9,WHO buw??lu ab??r?? àj?sára Monkeypox fún lílò àgbáyé,"Lati ?dun 2022, o le ni eeyan 103,000 to ti lugbadi aarun naa ni oril?ede 120.",https://www.bbc.com/yoruba/articles/cq8x27gnkqpo,WHO approves Monkeypox vaccine for worldwide use,"Since 2022, about 103,000 people have been infected across 120 countries."
10,WHO buw??lu ab??r?? àj?sára Monkeypox fún lílò àgbáyé,O le eeyan 700 to ti padanu ?mi w?n ni il? Afrika.,https://www.bbc.com/yoruba/articles/cq8x27gnkqpo,WHO approves Monkeypox vaccine for worldwide use,About 700 people have lost their lives to the disease in Africa.
