english_sentence,source_name
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,Quotes to Scrape
"It is our choices, Harry, that show what we truly are, far more than our abilities.",Quotes to Scrape
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Quotes to Scrape
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Quotes to Scrape
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Quotes to Scrape
Try not to become a man of success. Rather become a man of value.,Quotes to Scrape
It is better to be hated for what you are than to be loved for what you are not.,Quotes to Scrape
"I have not failed. I've just found 10,000 ways that won't work.",Quotes to Scrape
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Quotes to Scrape
"A day without sunshine is like, you know, night.",Quotes to Scrape
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",Quotes to Scrape
"If you can't explain it to a six year old, you don't understand it yourself.",Quotes to Scrape
"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Quotes to Scrape
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",Quotes to Scrape
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Quotes to Scrape
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Quotes to Scrape
Life is what happens to us while we are making other plans.,Quotes to Scrape
For every minute you are angry you lose sixty seconds of happiness.,Quotes to Scrape
"If you judge people, you have no time to love them.",Quotes to Scrape
Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,Quotes to Scrape
Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,Quotes to Scrape
"Today you are You, that is truer than true. There is no one alive who is Youer than You.",Quotes to Scrape
"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.",Quotes to Scrape
Logic will get you from A to Z; imagination will get you everywhere.,Quotes to Scrape
"One good thing about music, when it hits you, you feel no pain.",Quotes to Scrape
"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",Quotes to Scrape
"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",Quotes to Scrape
"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",Quotes to Scrape
Not all of us can do great things. But we can do small things with great love.,Quotes to Scrape
"To the wellorganized mind, death is but the next great adventure.",Quotes to Scrape
All you need is love. But a little chocolate now and then doesn't hurt.,Quotes to Scrape
We read to know we're not alone.,Quotes to Scrape
Any fool can know. The point is to understand.,Quotes to Scrape
I have always imagined that Paradise will be a kind of library.,Quotes to Scrape
It is never too late to be what you might have been.,Quotes to Scrape
"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",Quotes to Scrape
You can never get a cup of tea large enough or a book long enough to suit me.,Quotes to Scrape
You believe lies so you eventually learn to trust no one but yourself.,Quotes to Scrape
"If you can make a woman laugh, you can make her do anything.",Quotes to Scrape
"Life is like riding a bicycle. To keep your balance, you must keep moving.",Quotes to Scrape
The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,Quotes to Scrape
"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",Quotes to Scrape
Only in the darkness can you see the stars.,Quotes to Scrape
"It matters not what someone is born, but what they grow to be.",Quotes to Scrape
"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",Quotes to Scrape
"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",Quotes to Scrape
Do one thing every day that scares you.,Quotes to Scrape
"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.",Quotes to Scrape
The difference between genius and stupidity is: genius has its limits.,Quotes to Scrape
"He's like a drug for you, Bella.",Quotes to Scrape
There is no friend as loyal as a book.,Quotes to Scrape
Life isn't about finding yourself. Life is about creating yourself.,Quotes to Scrape
You dont forget the face of the person who was your last hope.,Quotes to Scrape
"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.",Quotes to Scrape
Not all those who wander are lost.,Quotes to Scrape
"Do not pity the dead, Harry. Pity the living, and, above all those who live without love.",Quotes to Scrape
There is nothing to writing. All you do is sit down at a typewriter and bleed.,Quotes to Scrape
I have never let my schooling interfere with my education.,Quotes to Scrape
If I had a flower for every time I thought of you...I could walk through my garden forever.,Quotes to Scrape
Some people never go crazy. What truly horrible lives they must lead.,Quotes to Scrape
"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.",Quotes to Scrape
"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!",Quotes to Scrape
The reason I talk to myself is because Im the only one whose answers I accept.,Quotes to Scrape
"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",Quotes to Scrape
I am free of all prejudice. I hate everyone equally.,Quotes to Scrape
The question isn't who is going to let me; it's who is going to stop me.,Quotes to Scrape
Classic a book which people praise and don't read.,Quotes to Scrape
Anyone who has never made a mistake has never tried anything new.,Quotes to Scrape
"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.",Quotes to Scrape
Some day you will be old enough to start reading fairy tales again.,Quotes to Scrape
We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.,Quotes to Scrape
The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,Quotes to Scrape
A lie can travel half way around the world while the truth is putting on its shoes.,Quotes to Scrape
"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",Quotes to Scrape
"The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.",Quotes to Scrape
"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.",Quotes to Scrape
To die will be an awfully big adventure.,Quotes to Scrape
It takes courage to grow up and become who you really are.,Quotes to Scrape
But better to get hurt by the truth than comforted with a lie.,Quotes to Scrape
You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.,Quotes to Scrape
"You have to write the book that wants to be written. And if the book will be too difficult for grownups, then you write it for children.",Quotes to Scrape
Never tell the truth to people who are not worthy of it.,Quotes to Scrape
"A person's a person, no matter how small.",Quotes to Scrape
"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.",Quotes to Scrape
A Light in the Attic,Books to Scrape
Sapiens: A Brief History of Humankind,Books to Scrape
The Dirty Little Secrets of Getting Your Dream Job,Books to Scrape
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Books to Scrape
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Books to Scrape
"Starving Hearts Triangular Trade Trilogy, 1",Books to Scrape
Scott Pilgrim's Precious Little Life Scott Pilgrim 1,Books to Scrape
Rip it Up and Start Again,Books to Scrape
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 19811991",Books to Scrape
Mesaerion: The Best Science Fiction Stories 18001849,Books to Scrape
It's Only the Himalayas,Books to Scrape
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Books to Scrape
Chase Me Paris Nights 2,Books to Scrape
Birdsong: A Story in Pictures,Books to Scrape
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Books to Scrape
Aladdin and His Wonderful Lamp,Books to Scrape
Worlds Elsewhere: Journeys Around Shakespeares Globe,Books to Scrape
The Four Agreements: A Practical Guide to Personal Freedom,Books to Scrape
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Books to Scrape
The Bear and the Piano,Books to Scrape
Maude 18831993:She Grew Up with the country,Books to Scrape
"In a Dark, Dark Wood",Books to Scrape
You can't bury them all: Poems,Books to Scrape
Slow States of Collapse: Poems,Books to Scrape
Reasons to Stay Alive,Books to Scrape
Private Paris Private 10,Books to Scrape
HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Books to Scrape
Without Borders Wanderlove 1,Books to Scrape
"We Love You, Charlie Freeman",Books to Scrape
Untitled Collection: Sabbath Poems 2014,Books to Scrape
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails Other Wonders of the Urban Wilderness",Books to Scrape
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Books to Scrape
Tsubasa: WoRLD CHRoNiCLE 2 Tsubasa WoRLD CHRoNiCLE 2,Books to Scrape
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Books to Scrape
The Torch Is Passed: A Harding Family Story,Books to Scrape
The Secret of Dreadwillow Carse,Books to Scrape
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16Minute Meals, and Other Delicious Ways to Solve Supper!",Books to Scrape
The Past Never Ends,Books to Scrape
The Natural History of Us The Fine Art of Pretending 2,Books to Scrape
The Nameless City The Nameless City 1,Books to Scrape
The Murder That Never Was Forensic Instincts 5,Books to Scrape
The Most Perfect Thing: Inside and Outside a Bird's Egg,Books to Scrape
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Books to Scrape
The LifeChanging Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Books to Scrape
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Books to Scrape
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Books to Scrape
The Electric Pencil: Drawings from Inside State Hospital No. 3,Books to Scrape
The Death of Humanity: and the Case for Life,Books to Scrape
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Books to Scrape
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Books to Scrape
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Books to Scrape
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Books to Scrape
"Saga, Volume 6 Saga Collected Editions 6",Books to Scrape
"Saga, Volume 5 Saga Collected Editions 5",Books to Scrape
Reskilling America: Learning to Labor in the TwentyFirst Century,Books to Scrape
"Rat Queens, Vol. 3: Demons Rat Queens Collected Editions 1115",Books to Scrape
"Princess Jellyfish 2in1 Omnibus, Vol. 01 Princess Jellyfish 2in1 Omnibus 1",Books to Scrape
Princess Between Worlds WideAwake Princess 5,Books to Scrape
"Pop Gun War, Volume 1: Gift",Books to Scrape
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Books to Scrape
"Outcast, Vol. 1: A Darkness Surrounds Him Outcast 1",Books to Scrape
orange: The Complete Collection 1 orange: The Complete Collection 1,Books to Scrape
Online Marketing for Busy Authors: A StepByStep Guide,Books to Scrape
On a Midnight Clear,Books to Scrape
My Paris Kitchen: Recipes and Stories,Books to Scrape
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Books to Scrape
"Lumberjanes, Vol. 2: Friendship to the Max Lumberjanes 58",Books to Scrape
"Lumberjanes, Vol. 1: Beware the Kitten Holy Lumberjanes 14",Books to Scrape
Lumberjanes Vol. 3: A Terrible Plan Lumberjanes 912,Books to Scrape
"Layered: Baking, Building, and Styling Spectacular Cakes",Books to Scrape
Judo: Seven Steps to Black Belt an Introductory Guide for Beginners,Books to Scrape
In the Country We Love: My Family Divided,Books to Scrape
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Books to Scrape
"I Hate Fairyland, Vol. 1: Madly Ever After I Hate Fairyland Compilations 15",Books to Scrape
I am a Hero Omnibus Volume 1,Books to Scrape
How to Be Miserable: 40 Strategies You Already Use,Books to Scrape
Her Backup Boyfriend The Sorensen Family 1,Books to Scrape
"Giant Days, Vol. 2 Giant Days 58",Books to Scrape
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Books to Scrape
First and First Five Boroughs 3,Books to Scrape
Fifty Shades Darker Fifty Shades 2,Books to Scrape
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Books to Scrape
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Books to Scrape
Crown of Midnight Throne of Glass 2,Books to Scrape
"Codename Baboushka, Volume 1: The Conclave of Death",Books to Scrape
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Books to Scrape
"Bitch Planet, Vol. 1: Extraordinary Machine Bitch Planet Collected Editions",Books to Scrape
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 Smoke and Shadow 3",Books to Scrape
Algorithms to Live By: The Computer Science of Human Decisions,Books to Scrape
A World of Flavor: Your Gluten Free Passport,Books to Scrape
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Books to Scrape
A Murder in Time,Books to Scrape
A Flight of Arrows The Pathfinders 2,Books to Scrape
A Fierce and Subtle Poison,Books to Scrape
A Court of Thorns and Roses A Court of Thorns and Roses 1,Books to Scrape
UnQualified: How God Uses Broken People to Do Big Things,Books to Scrape
You Are What You Love: The Spiritual Power of Habit,Books to Scrape
"William Shakespeare's Star Wars: Verily, A New Hope William Shakespeare's Star Wars 4",Books to Scrape
